31	1	
20	84	
2	74	
21	40	
10	0	
68	55	
92	31	
32	0	
65	16	
25	52	
56	75	
23	73	
18	19	
72	11	
24	38	
41	42	
88	96	
77	71	
38	59	
75	75	
28	5	
85	61	
70	22	
80	86	
76	34	
9	61	
53	75	
43	38	
63	11	
6	6	
71	52	
67	91	
86	73	
79	77	
69	98	
61	18	
52	84	
64	7	
42	15	
55	14	
87	51	
93	98	
30	99	
78	16	
34	62	
16	35	
26	42	
1	20	
35	88	
83	65	
46	4	
45	52	
5	65	
11	66	
37	85	
82	47	
8	84	
3	96	
7	36	
39	9	
48	83	
51	95	
94	43	
60	73	
13	42	
12	36	
44	63	
91	66	
66	89	
4	18	
90	56	
98	84	
73	85	
36	85	
54	44	
29	1	
62	69	
47	58	
22	42	
27	16	
50	49	
96	14	
0	54	
49	57	
99	99	
81	28	
40	63	
74	25	
84	37	
15	36	
57	47	
89	17	
58	26	
59	64	
95	73	
19	71	
97	5	
17	3	
14	36	
33	55	
