68	99	
6	59	
63	51	
38	46	
26	51	
49	23	
57	90	
24	27	
91	97	
84	69	
56	3	
78	0	
42	43	
41	58	
76	63	
31	27	
77	10	
18	9	
79	67	
53	44	
11	46	
14	12	
22	91	
51	62	
61	65	
2	66	
60	13	
86	71	
83	18	
87	88	
46	75	
44	89	
95	21	
32	12	
73	16	
59	36	
20	27	
92	0	
75	43	
5	81	
17	55	
0	24	
35	18	
19	0	
74	9	
34	43	
94	90	
81	97	
54	14	
52	47	
64	78	
90	66	
16	16	
4	94	
1	43	
23	56	
8	19	
93	76	
71	66	
13	71	
69	22	
30	22	
7	85	
36	82	
72	83	
99	12	
21	16	
55	42	
85	19	
45	83	
48	23	
9	38	
62	96	
39	7	
25	28	
12	11	
3	83	
66	44	
97	2	
10	20	
27	48	
80	27	
37	15	
40	13	
15	9	
96	94	
43	95	
98	88	
70	34	
58	95	
65	9	
29	15	
67	84	
28	40	
89	50	
33	37	
88	17	
50	61	
82	50	
47	56	
